PROJECT	proj_dbid	proj_gen_tech	proj_load_zone	proj_connect_cost_per_mw	proj_capacity_limit_mw	proj_variable_om
Oahu_OnshoreWind_OnWind_403_na	.	OnshoreWind	Oahu	492090.0	47.5	.
Oahu_OnshoreWind_OnWind_404_na	.	OnshoreWind	Oahu	474265.625	50.0	.
Oahu_OnshoreWind_OnWind_405_na	.	OnshoreWind	Oahu	466471.0	45.0	.
Oahu_OnshoreWind_OnWind_406_na	.	OnshoreWind	Oahu	476851.9375	42.5	.
Oahu_OnshoreWind_OnWind_407_na	.	OnshoreWind	Oahu	480919.75	12.5	.
Oahu_OnshoreWind_OnWind_408_na	.	OnshoreWind	Oahu	488818.3125	15.0	.
Oahu_OnshoreWind_OnWind_409_na	.	OnshoreWind	Oahu	484455.25	50.0	.
Oahu_OnshoreWind_OnWind_410_na	.	OnshoreWind	Oahu	480393.1875	2.5	.
Oahu_OnshoreWind_OnWind_501_na	.	OnshoreWind	Oahu	491164.0625	242.5	.
Oahu_OnshoreWind_OnWind_502_na	.	OnshoreWind	Oahu	483534.6875	42.5	.
Oahu_OnshoreWind_OnWind_503_na	.	OnshoreWind	Oahu	476877.90625	117.5	.
Oahu_OnshoreWind_OnWind_504_na	.	OnshoreWind	Oahu	465647.71875	20.0	.
Oahu_OnshoreWind_OnWind_505_na	.	OnshoreWind	Oahu	485205.3125	42.5	.
Oahu_OnshoreWind_OnWind_506_na	.	OnshoreWind	Oahu	493087.5	7.5	.
Oahu_OnshoreWind_OnWind_507_na	.	OnshoreWind	Oahu	478714.0625	10.0	.
Oahu_OnshoreWind_OnWind_508_na	.	OnshoreWind	Oahu	480337.15625	2.5	.
Oahu_OnshoreWind_OnWind_509_na	.	OnshoreWind	Oahu	477757.8125	2.5	.
Oahu_Solar_DistPV	.	Solar_210_MW_PV	Oahu	0.0	.	0.0
Oahu_Tesoro_GEN1	.	Tesoro_LSFO_20_MW_GT_cogen	Oahu	0.0	.	4.935
Oahu_Waiau_W10_W9	.	Waiau_High-Sulfur-Diesel_51.2_MW_GT	Oahu	0.0	.	4.935
Oahu_Waiau_W3	.	Waiau_LSFO_47.2_MW_ST	Oahu	0.0	.	8.19
Oahu_Waiau_W4	.	Waiau_LSFO_47.7_MW_ST	Oahu	0.0	.	8.19
Oahu_Waiau_W6	.	Waiau_LSFO_51.8_MW_ST	Oahu	0.0	.	8.19
Oahu_Waiau_W5	.	Waiau_LSFO_51.9_MW_ST	Oahu	0.0	.	8.19
Oahu_Waiau_W7_W8	.	Waiau_LSFO_77.8_MW_ST	Oahu	0.0	.	8.19
